geneID,Ribo_Mock_RPKM_AVG,Ribo_IC_RPKM_AVG,RNA_Mock_RPKM_AVG,RNA_IC_RPKM_AVG,RNAlog2fc,RNA_adjp,Ribolog2fc,Ribo_adjp,TE_Mock,TE_IC,log2_TEfc
AT1G06690,10.28813899,8.409438348,32.40725668,35.53136134,0.1821959,0.735824751,-0.237691591,0.936826375,0.317464051,0.236676503,-0.42367675
AT1G06700,4.779467928,5.360013613,17.49490851,13.66541926,0.100350887,0.90066179,0.303344048,0.935505558,0.273191936,0.392231918,0.521792041
AT1G06760,10.7326195,9.96616195,47.77327581,51.04171811,0.171190085,0.752374097,-0.167126813,0.968916847,0.224657391,0.195255221,-0.202365399
AT1G06830,4.142373471,6.821044221,33.85733892,52.95262971,0.659852205,0.304979976,0.422007527,0.936826375,0.122347875,0.128814079,0.074301238
AT1G06840,2.194970946,2.471993767,4.286546591,5.078215127,0.322762238,0.63798013,0.231645262,0.958516893,0.512060443,0.486783979,-0.073032427
AT1G06900,3.115183763,2.266543226,5.059928947,2.323019806,-0.90214204,0.269601163,-0.376201154,0.916086574,0.61565761,0.975688291,0.664292077
AT1G06950,12.05607834,9.799363554,18.94523787,11.55303966,-0.5488987,0.346589005,-0.267454076,0.858745023,0.63636458,0.848206519,0.414562032
AT1G07000,14.00538744,30.31287498,41.25927529,143.4229884,1.893377249,4.28737E-37,1.063496741,0.000762169,0.339448217,0.211352973,-0.683537103
AT1G07010,5.841748881,4.744521086,17.2995309,4.135006684,-1.399820265,0.000132892,-0.298639898,0.936826375,0.337682502,1.147403486,1.764633477
AT1G07040,3.778759369,3.534246503,8.028365408,5.880342632,-0.184169407,0.87949198,0.074303935,0.989950827,0.470676056,0.601027308,0.352696078
AT1G07080,8.692728358,8.582509057,34.92036378,26.84645677,-0.229982303,0.766131719,-0.025924819,0.996883172,0.248930063,0.319688707,0.360927309
